name,name_simplified,code,class,weapon,rarity,burst,manufacturer
2B,2B,燃燒,防禦,AR,SSR,B3,反常
A2,A2,燃燒,火力,RL,SSR,B3,反常
D,D,風壓,火力,SMG,SSR,B3,极乐净土
D：殺手妻子,D：杀手妻子,燃燒,輔助,SR,SSR,B1,极乐净土
E.H.,E.H.,風壓,火力,SMG,SSR,B3,极乐净土
K,K,電擊,火力,SMG,SSR,B3,极乐净土
N102,N102,水冷,輔助,RL,SR,B1,米西利斯
iDoll太陽,iDoll太阳,鐵甲,輔助,AR,R,B3,泰特拉
iDoll海,iDoll海,水冷,輔助,SMG,R,B1,泰特拉
iDoll花,iDoll花,風壓,防禦,RL,R,B1,泰特拉
伊芙,伊芙,鐵甲,火力,AR,SSR,B3,反常
伊莎貝爾,伊莎贝尔,電擊,火力,SG,SSR,B3,朝圣者
伊萊格,伊莱格,電擊,輔助,MG,SSR,B2,米西利斯
伊萊格：BOOM與驚嚇,伊莱格：BOOM与惊吓,水冷,火力,MG,SSR,B3,米西利斯
佩珀,佩珀,風壓,輔助,SG,SSR,B1,米西利斯
克勞斯特,克劳斯特,水冷,輔助,RL,SSR,B2,泰特拉
克拉烏,克拉乌,燃燒,防禦,SMG,SSR,B3,米西利斯
克蕾兒,克蕾儿,電擊,輔助,RL,SR,B1,反常
克雷伊,克雷伊,電擊,輔助,SMG,SSR,B2,泰特拉
千束,千束,鐵甲,火力,SMG,SSR,B3,反常
可可,可可,燃燒,輔助,SR,SSR,B1,泰特拉
吉兒,吉儿,電擊,火力,AR,SSR,B3,反常
吉洛,吉洛,燃燒,防禦,MG,SSR,B3,米西利斯
吉爾提,吉尔提,風壓,火力,SG,SSR,B2,米西利斯
吉蘿婷,吉萝婷,水冷,火力,MG,SSR,B3,极乐净土
吉蘿婷：寒冬殺手,吉萝婷：寒冬杀手,水冷,火力,AR,SSR,B3,极乐净土
哈蘭,哈兰,電擊,火力,SR,SSR,B3,朝圣者
坎西,坎西,電擊,輔助,SMG,SSR,B2,米西利斯
坎西：逃生女王,坎西：逃生女王,水冷,火力,SMG,SSR,B3,米西利斯
基里,基里,風壓,輔助,RL,SSR,B3,极乐净土
士兵E.G.,士兵E.G.,電擊,火力,AR,R,B3,极乐净土
士兵F.A.,士兵F.A.,鐵甲,防禦,SG,R,B2,极乐净土
士兵O.W.,士兵O.W.,燃燒,輔助,SMG,R,B1,极乐净土
姬野,姬野,風壓,輔助,SR,SR,B2,反常
娜嘉,娜嘉,電擊,輔助,SG,SSR,B2,米西利斯
娜由塔,娜由塔,風壓,輔助,SMG,SSR,B2,朝圣者
安克,安克,風壓,防禦,RL,SR,B1,极乐净土
安克：天真的女僕,安克：天真的女仆,水冷,輔助,RL,SSR,B2,极乐净土
安妮：奇蹟仙女,安妮：奇迹仙女,風壓,輔助,RL,SSR,B2,米西利斯
富克旺,富克旺,水冷,防禦,AR,SSR,B2,泰特拉
小紅帽,小红帽,鐵甲,火力,SR,SSR,Bp,朝圣者
小美人魚,小美人鱼,風壓,輔助,SMG,SSR,B1,朝圣者
尤妮,尤妮,燃燒,防禦,RL,SSR,B2,米西利斯
尤爾夏,尤尔夏,燃燒,火力,SR,SSR,B3,泰特拉
尤莉亞,尤莉亚,鐵甲,火力,AR,SSR,B3,米西利斯
尼夫,尼夫,水冷,火力,SG,SR,B3,泰特拉
尼希利斯塔,尼希利斯塔,燃燒,火力,SR,SSR,B2,朝圣者
尼恩,尼恩,燃燒,輔助,SG,SR,B1,极乐净土
尼恩：藍色海洋,尼恩：蓝色海洋,水冷,火力,MG,SSR,B3,极乐净土
尼恩：透視之眼,尼恩：透视之眼,電擊,火力,RL,SSR,B3,米西利斯
尼羅,尼罗,燃燒,防禦,SMG,SSR,B2,泰特拉
布蕾德,布蕾德,水冷,火力,SR,SSR,B3,泰特拉
布蘭兒,布兰儿,風壓,防禦,AR,SSR,B2,泰特拉
布麗德,布丽德,水冷,火力,AR,SSR,B3,极乐净土
布麗德：靜默軌道,布丽德：静默轨道,燃燒,輔助,SG,SSR,B2,极乐净土
帕斯卡,帕斯卡,鐵甲,輔助,RL,SR,B1,反常
帕瓦,帕瓦,燃燒,火力,RL,SSR,B3,反常
德爾塔,德尔塔,風壓,防禦,SR,SR,B2,极乐净土
德爾塔：怪盜忍者,德尔塔：怪盗忍者,水冷,防禦,MG,SSR,B2,极乐净土
德雷克,德雷克,燃燒,火力,SG,SSR,B3,米西利斯
愛因,爱因,電擊,火力,SR,SSR,B3,米西利斯
愛德,爱德,風壓,輔助,AR,SSR,B2,泰特拉
愛德：特務兔女郎,爱德：特务兔女郎,鐵甲,輔助,SR,SSR,B2,泰特拉
愛蜜莉雅,爱蜜莉雅,水冷,火力,RL,SSR,B3,反常
愛麗絲,爱丽丝,燃燒,火力,SR,SSR,B3,泰特拉
愛麗絲：仙境兔女郎,爱丽丝：仙境兔女郎,水冷,輔助,SMG,SSR,B1,泰特拉
托比,托比,水冷,輔助,AR,SSR,B1,米西利斯
拉姆,拉姆,風壓,防禦,SR,SR,B1,反常
拉普拉斯,拉普拉斯,鐵甲,火力,RL,SSR,B3,米西利斯
拉毗,拉毗,燃燒,火力,AR,SR,B3,极乐净土
拉毗：小紅帽,拉毗：小红帽,燃燒,火力,MG,SSR,B3,极乐净土
敏特,敏特,鐵甲,輔助,RL,SSR,B2,泰特拉
明日香,明日香,燃燒,火力,AR,SSR,B3,反常
明日香：WILLE,明日香：WILLE,風壓,火力,MG,SSR,B3,反常
普琳瑪,普琳玛,鐵甲,輔助,SR,SSR,B1,泰特拉
普莉卡,普莉卡,水冷,輔助,SR,SSR,B2,泰特拉
普麗瓦蒂,普丽瓦蒂,電擊,火力,AR,SSR,B3,极乐净土
普麗瓦蒂：不友善的女僕,普丽瓦蒂：不友善的女仆,電擊,火力,SG,SSR,B3,极乐净土
朵拉,朵拉,風壓,輔助,SR,SSR,B2,泰特拉
格拉維,格拉维,燃燒,輔助,AR,SSR,B2,朝圣者
桃樂絲,桃乐丝,水冷,輔助,AR,SSR,B1,朝圣者
桃樂絲：機緣巧遇,桃乐丝：机缘巧遇,水冷,火力,SG,SSR,B3,朝圣者
桑迪,桑迪,鐵甲,防禦,RL,SSR,B2,米西利斯
梅登,梅登,電擊,火力,SG,SSR,B3,极乐净土
梅登：冰玫瑰,梅登：冰玫瑰,電擊,防禦,RL,SSR,B3,极乐净土
梅里,梅里,電擊,輔助,SG,SSR,B1,泰特拉
梅里：海灣女神,梅里：海湾女神,水冷,輔助,SR,SSR,B1,泰特拉
森,森,電擊,防禦,AR,SSR,B2,米西利斯
楊,杨,燃燒,輔助,RL,SSR,B1,泰特拉
櫻,樱,水冷,輔助,SMG,SR,B1,极乐净土
櫻花,樱花,燃燒,輔助,SR,SSR,B1,泰特拉
櫻花：夏日綻放,樱花：夏日绽放,風壓,火力,AR,SSR,B3,泰特拉
毒蛇,毒蛇,水冷,火力,SG,SSR,B2,泰特拉
沃綸姆,沃纶姆,風壓,火力,SMG,SSR,B1,泰特拉
波莉,波莉,水冷,防禦,SG,SSR,B2,极乐净土
海倫,海伦,電擊,火力,SR,SSR,B3,极乐净土
海倫：海藍寶石,海伦：海蓝宝石,鐵甲,火力,AR,SSR,B2,极乐净土
潘托姆,潘托姆,水冷,火力,AR,SSR,B3,极乐净土
瀧奈,泷奈,鐵甲,輔助,SR,SSR,B2,反常
灰姑娘,灰姑娘,電擊,防禦,RL,SSR,B3,朝圣者
牡丹,牡丹,電擊,防禦,AR,SSR,B1,泰特拉
特羅尼,特罗尼,燃燒,火力,SR,SSR,B3,米西利斯
特蕾娜,特蕾娜,電擊,輔助,RL,SSR,B2,米西利斯
瑪娜,玛娜,風壓,火力,AR,SSR,B3,米西利斯
瑪律恰那,玛律恰那,鐵甲,輔助,SG,SSR,B2,极乐净土
產品08,产品08,電擊,輔助,SR,R,B1,米西利斯
產品12,产品12,燃燒,火力,MG,R,B3,米西利斯
產品23,产品23,風壓,輔助,SG,R,B2,米西利斯
白雪公主,白雪公主,鐵甲,火力,AR,SSR,B3,朝圣者
白雪公主：純真年代,白雪公主：纯真年代,鐵甲,火力,AR,SSR,B3,朝圣者
白雪公主：重型武裝,白雪公主：重型武装,水冷,火力,SR,SSR,B3,朝圣者
白鶴,白鹤,燃燒,防禦,SR,SSR,B2,米西利斯
百合,百合,風壓,輔助,SMG,SR,B2,反常
皇冠,皇冠,鐵甲,防禦,MG,SSR,B2,朝圣者
真理,真理,電擊,輔助,SR,SSR,B2,反常
真紀真,真纪真,水冷,防禦,SMG,SSR,B2,反常
神罰,神罚,燃燒,火力,MG,SSR,B3,朝圣者
米卡,米卡,風壓,輔助,RL,SR,B1,泰特拉
米卡：雪地夥伴,米卡：雪地伙伴,鐵甲,輔助,SMG,SSR,B1,泰特拉
米哈拉,米哈拉,水冷,火力,AR,SR,B3,米西利斯
米哈拉：羈絆鎖鏈,米哈拉：羁绊锁链,燃燒,火力,MG,SSR,B3,米西利斯
米爾克,米尔克,水冷,火力,SR,SSR,B1,泰特拉
米爾克：花漾兔女郎,米尔克：花漾兔女郎,鐵甲,火力,SR,SSR,B3,泰特拉
米蘭達,米兰达,燃燒,輔助,SMG,SSR,B1,极乐净土
紅蓮,红莲,電擊,火力,AR,SSR,B3,朝圣者
紅蓮：暗影,红莲：暗影,風壓,火力,RL,SSR,B3,朝圣者
索拉,索拉,風壓,輔助,RL,SSR,B1,极乐净土
索林,索林,鐵甲,火力,SMG,SSR,B3,极乐净土
索林：霜雪車票,索林：霜雪车票,水冷,輔助,SG,SSR,B1,极乐净土
索達,索达,燃燒,輔助,MG,SSR,B1,泰特拉
索達：閃亮兔女郎,索达：闪亮兔女郎,鐵甲,火力,SG,SSR,B3,泰特拉
羅珊娜,罗珊娜,電擊,火力,MG,SSR,B1,泰特拉
羅珊娜：高雅海洋,罗珊娜：高雅海洋,風壓,輔助,AR,SSR,B2,泰特拉
美里,美里,鐵甲,輔助,SMG,SR,B1,反常
胡桃,胡桃,鐵甲,輔助,AR,SR,B1,反常
舒格,舒格,鐵甲,火力,SG,SSR,B3,泰特拉
艾可希雅,艾可希雅,電擊,輔助,SR,SSR,B1,泰特拉
艾德米,艾德米,風壓,輔助,SR,SSR,B2,米西利斯
艾瑟兒,艾瑟儿,電擊,防禦,SG,SR,B1,米西利斯
艾瑪,艾玛,燃燒,輔助,MG,SSR,B1,极乐净土
艾瑪：戰術升級,艾玛：战术升级,燃燒,輔助,MG,SSR,B1,极乐净土
艾菲涅爾,艾菲涅尔,風壓,火力,SMG,SSR,B3,米西利斯
艾達,艾达,電擊,火力,RL,SSR,B3,反常
芙羅拉,芙罗拉,電擊,輔助,MG,SSR,B2,米西利斯
茨瓦伊,茨瓦伊,電擊,輔助,SG,SSR,B1,极乐净土
莉貝雷利奧,莉贝雷利奥,風壓,火力,SR,SSR,B3,朝圣者
莫莉,莫莉,風壓,防禦,AR,SSR,B2,米西利斯
萊伊,莱伊,水冷,防禦,SMG,SSR,B1,泰特拉
萊昂納,莱昂纳,水冷,輔助,SG,SSR,B2,泰特拉
蒂亞,蒂亚,鐵甲,防禦,RL,SSR,B1,米西利斯
蕾貝兒,蕾贝儿,鐵甲,防禦,AR,SSR,B1,反常
蕾雯,蕾雯,鐵甲,火力,RL,SSR,B3,反常
薇爾維特,薇尔维特,風壓,輔助,SR,SSR,B2,泰特拉
西格娜,西格娜,燃燒,火力,SMG,SSR,B2,极乐净土
諾亞爾,诺亚尔,風壓,火力,SG,SSR,B3,泰特拉
諾伊斯,诺伊斯,電擊,輔助,RL,SSR,B1,泰特拉
諾薇兒,诺薇儿,鐵甲,防禦,SMG,SSR,B2,泰特拉
諾雅,诺雅,風壓,防禦,RL,SSR,B2,朝圣者
豺狼,豺狼,鐵甲,防禦,RL,SSR,B1,米西利斯
貝伊,贝伊,燃燒,防禦,RL,SSR,B2,泰特拉
貝斯蒂,贝斯蒂,水冷,火力,RL,SSR,B3,极乐净土
貝斯蒂：戰術升級,贝斯蒂：战术升级,燃燒,火力,RL,SSR,B3,极乐净土
貝洛塔,贝洛塔,電擊,火力,RL,SR,B2,泰特拉
迪塞爾,迪塞尔,風壓,防禦,MG,SSR,B2,极乐净土
迪塞爾：冬日甜心,迪塞尔：冬日甜心,燃燒,火力,RL,SSR,B3,极乐净土
銀華,银华,燃燒,火力,SR,SSR,B2,极乐净土
銀華：戰術升級,银华：战术升级,燃燒,火力,SR,SSR,B2,极乐净土
鐘鳴,钟鸣,鐵甲,輔助,SMG,SSR,B2,朝圣者
長髮公主,长发公主,鐵甲,輔助,RL,SSR,B1,朝圣者
長髮公主：純潔恩典,长发公主：纯洁恩典,鐵甲,防禦,SR,SSR,B1,朝圣者
阿妮斯,阿妮斯,鐵甲,防禦,RL,SR,B2,泰特拉
阿妮斯：超級巨星,阿妮斯：超级巨星,電擊,防禦,RL,SSR,B1,泰特拉
阿妮斯：閃耀夏日,阿妮斯：闪耀夏日,電擊,輔助,SG,SSR,B3,泰特拉
阿爾卡娜,阿尔卡娜,電擊,輔助,RL,SSR,B2,极乐净土
阿爾卡娜：命運伴侶,阿尔卡娜：命运伴侣,燃燒,火力,SG,SSR,B2,极乐净土
阿維斯塔,阿维斯塔,電擊,輔助,MG,SSR,B1,极乐净土
阿莉亞,阿莉亚,電擊,火力,MG,SSR,B2,泰特拉
零,零,燃燒,火力,MG,SSR,B3,反常
零（暫稱）,零（暂称）,風壓,火力,AR,SSR,B3,反常
雷姆,雷姆,水冷,輔助,MG,SSR,B2,反常
露姬,露姬,電擊,輔助,SR,SSR,B1,泰特拉
露菲,露菲,電擊,火力,AR,SSR,B2,泰特拉
露菲：冬日購物狂,露菲：冬日购物狂,電擊,防禦,AR,SSR,B1,泰特拉
餅乾,饼干,電擊,輔助,RL,SSR,B2,泰特拉
馬斯特,马斯特,電擊,輔助,SMG,SSR,B2,极乐净土
馬斯特：浪漫的女僕,马斯特：浪漫的女仆,水冷,輔助,MG,SSR,B2,极乐净土
魯德米拉,鲁德米拉,水冷,防禦,SMG,SSR,B1,泰特拉
魯德米拉：冬日之主,鲁德米拉：冬日之主,水冷,火力,MG,SSR,B3,泰特拉
魯瑪妮,鲁玛妮,燃燒,防禦,RL,SSR,B1,泰特拉
麗塔,丽塔,鐵甲,輔助,SMG,SSR,B1,米西利斯
麥斯威爾,麦斯威尔,鐵甲,火力,SR,SSR,B3,米西利斯
方舟黑色游俠,方舟黑色游侠,風壓,火力,AR,SSR,B3,泰特拉
